"airline","year","count"
"Aeromexico","2010","77648"
"Aeromexico","2011","80171"
"Aeromexico","2012","74552"
"Aeromexico","2013","118783"
"Aeromexico","2014","243923"
"Aeromexico","2015","263919"
"Aeromexico","2016","277196"
"Aeromexico","2017","326365"
"Aeromexico","2018","301874"
"Aeromexico","2019","255190"
"Air Canada","2019","870807"
"Air China","2010","157161"
"Air China","2011","169458"
"Air China","2012","171633"
"Air China","2013","189905"
"Air China","2014","184737"
"Air China","2015","196393"
"Air China","2016","249193"
"Air China","2017","235938"
"Air China","2018","223476"
"Air China","2019","202132"
"Air France","2010","259807"
"Air France","2011","297633"
"Air France","2012","321072"
"Air France","2013","320853"
"Air France","2014","316303"
"Air France","2015","345660"
"Air France","2016","356800"
"Air France","2017","352263"
"Air France","2018","343129"
"Air France","2019","297293"
"Air New Zealand","2010","140290"
"Air New Zealand","2011","171816"
"Air New Zealand","2012","184807"
"Air New Zealand","2013","211493"
"Air New Zealand","2014","220947"
"Air New Zealand","2015","226865"
"Air New Zealand","2016","205060"
"Air New Zealand","2017","200297"
"Air New Zealand","2018","204432"
"Air New Zealand","2019","123688"
"All Nippon Airways","2010","154227"
"All Nippon Airways","2011","149015"
"All Nippon Airways","2012","170039"
"All Nippon Airways","2013","158918"
"All Nippon Airways","2014","160620"
"All Nippon Airways","2015","166356"
"All Nippon Airways","2016","166754"
"All Nippon Airways","2017","164567"
"All Nippon Airways","2018","160115"
"All Nippon Airways","2019","120152"
"Asiana Airlines","2010","110507"
"Asiana Airlines","2011","153285"
"Asiana Airlines","2012","184701"
"Asiana Airlines","2013","176396"
"Asiana Airlines","2014","183272"
"Asiana Airlines","2015","184275"
"Asiana Airlines","2016","188514"
"Asiana Airlines","2017","188414"
"Asiana Airlines","2018","198270"
"Asiana Airlines","2019","146177"
"British Airways","2010","377131"
"British Airways","2011","420219"
"British Airways","2012","419738"
"British Airways","2013","425354"
"British Airways","2014","423236"
"British Airways","2015","472375"
"British Airways","2016","456741"
"British Airways","2017","445581"
"British Airways","2018","443355"
"British Airways","2019","339432"
"Cathay Pacific","2010","491266"
"Cathay Pacific","2011","477709"
"Cathay Pacific","2012","455994"
"Cathay Pacific","2013","423061"
"Cathay Pacific","2014","416620"
"Cathay Pacific","2015","449950"
"Cathay Pacific","2016","485559"
"Cathay Pacific","2017","489984"
"Cathay Pacific","2018","536307"
"Cathay Pacific","2019","406245"
"China Airlines","2010","236176"
"China Airlines","2011","222700"
"China Airlines","2012","227343"
"China Airlines","2013","229500"
"China Airlines","2014","234860"
"China Airlines","2015","229955"
"China Airlines","2016","234029"
"China Airlines","2017","253082"
"China Airlines","2018","238190"
"China Airlines","2019","169560"
"EVA Airways","2010","290835"
"EVA Airways","2011","277275"
"EVA Airways","2012","300260"
"EVA Airways","2013","319702"
"EVA Airways","2014","360680"
"EVA Airways","2015","395624"
"EVA Airways","2016","409592"
"EVA Airways","2017","428484"
"EVA Airways","2018","559512"
"EVA Airways","2019","420337"
"Emirates","2010","211814"
"Emirates","2011","216358"
"Emirates","2012","226735"
"Emirates","2013","223274"
"Emirates","2014","240537"
"Emirates","2015","298613"
"Emirates","2016","299389"
"Emirates","2017","285216"
"Emirates","2018","315145"
"Emirates","2019","240707"
"Frontier Airlines","2010","378570"
"Frontier Airlines","2011","453879"
"Frontier Airlines","2012","433890"
"Frontier Airlines","2013","377488"
"Frontier Airlines","2014","421428"
"Frontier Airlines","2015","583777"
"Frontier Airlines","2016","732493"
"Frontier Airlines","2017","562935"
"Frontier Airlines","2018","328721"
"Frontier Airlines","2019","343477"
"Hawaiian Airlines","2010","176053"
"Hawaiian Airlines","2011","177283"
"Hawaiian Airlines","2012","193163"
"Hawaiian Airlines","2013","198902"
"Hawaiian Airlines","2014","202010"
"Hawaiian Airlines","2015","329461"
"Hawaiian Airlines","2016","378076"
"Hawaiian Airlines","2017","371240"
"Hawaiian Airlines","2018","383056"
"Hawaiian Airlines","2019","275208"
"Japan Airlines","2010","150901"
"Japan Airlines","2011","128488"
"Japan Airlines","2012","141681"
"Japan Airlines","2013","130802"
"Japan Airlines","2014","115101"
"Japan Airlines","2015","149462"
"Japan Airlines","2016","148249"
"Japan Airlines","2017","147483"
"Japan Airlines","2018","151598"
"Japan Airlines","2019","116366"
"KLM Royal Dutch Airlines","2010","213168"
"KLM Royal Dutch Airlines","2011","220211"
"KLM Royal Dutch Airlines","2012","221311"
"KLM Royal Dutch Airlines","2013","220187"
"KLM Royal Dutch Airlines","2014","223413"
"KLM Royal Dutch Airlines","2015","225307"
