period,airline,activity,count
201011,United Airlines - Pre 07/01/2013,Thru / Transit,8267
201407,Alaska Airlines,Enplaned,65344
201104,US Airways,Deplaned,65593
201412,SAS Airlines,Enplaned,4608
201309,WestJet Airlines,Deplaned,6838
201605,Asiana Airlines,Deplaned,8440
201808,Qantas Airways,Deplaned,8358
201405,Cathay Pacific,Deplaned,18386
201012,Aeromexico,Enplaned,3197
201202,China Airlines,Deplaned,8045
201812,Delta Air Lines,Enplaned,161683
201909,American Airlines,Deplaned,167308
201303,Virgin America,Enplaned,158601
201508,SkyWest Airlines,Deplaned,181931
201807,Compass Airlines,Enplaned,21138
201309,Korean Air Lines,Deplaned,6794
201101,Lufthansa German Airlines,Deplaned,17997
201012,Virgin America,Enplaned,112874
201004,United Airlines - Pre 07/01/2013,Deplaned,529581
201212,Cathay Pacific,Deplaned,17936
201106,Korean Air Lines,Deplaned,6115
201606,American Airlines,Enplaned,212155
201511,Compass Airlines,Deplaned,24931
201303,Aeromexico,Enplaned,3262
201403,US Airways,Enplaned,67153
201402,American Airlines,Deplaned,103145
201602,TACA,Deplaned,5102
201710,Frontier Airlines,Enplaned,18596
201410,British Airways,Enplaned,18321
201905,Hawaiian Airlines,Deplaned,15173
201504,JetBlue Airways,Enplaned,60254
201907,Frontier Airlines,Enplaned,25956
201106,WestJet Airlines,Deplaned,6961
201901,Air Pacific Limited dba Fiji Airways,Enplaned,2830
201504,Cathay Pacific,Deplaned,16925
201503,SAS Airlines,Deplaned,6167
201312,Frontier Airlines,Deplaned,14299
201809,Iberia,Deplaned,2737
201208,US Airways,Deplaned,74201
201304,Japan Airlines,Deplaned,5702
201401,Air China,Enplaned,8642
201812,Sun Country Airlines,Deplaned,8202
201812,United Airlines,Thru / Transit,111
201802,Horizon Air,Enplaned,6273
201102,Japan Airlines,Enplaned,4462
201901,Icelandair EHF,Enplaned,2127
201212,JetBlue Airways,Enplaned,44155
201408,British Airways,Deplaned,19203
201110,Air France,Deplaned,15319
201809,China Eastern,Enplaned,9227
201607,Air Pacific Limited dba Fiji Airways,Enplaned,2542
201404,Hawaiian Airlines,Enplaned,8112
201611,China Southern,Deplaned,5923
201808,Aeromexico,Enplaned,11768
201611,Japan Airlines,Deplaned,5678
201307,American Airlines,Deplaned,131615
201811,Jazz Aviation,Deplaned,7262
201806,Volaris Airlines,Deplaned,2426
201502,KLM Royal Dutch Airlines,Deplaned,5669
201812,Southwest Airlines,Deplaned,132817
201704,Air New Zealand,Deplaned,9331
201705,Air India Limited,Deplaned,5644
201705,KLM Royal Dutch Airlines,Enplaned,13421
201804,Air Canada,Enplaned,38175
201011,SkyWest Airlines,Enplaned,140490
201012,Qantas Airways,Deplaned,5459
201405,JetBlue Airways,Enplaned,46716
201609,Air New Zealand,Deplaned,8491
201004,Mexicana Airlines,Deplaned,10294
201211,Aeromexico,Deplaned,3668
201405,Horizon Air,Enplaned,5390
201209,Alaska Airlines,Enplaned,41942
201301,SkyWest Airlines,Enplaned,159337
201203,SkyWest Airlines,Enplaned,167849
201104,Philippine Airlines,Deplaned,11538
201204,Air New Zealand,Enplaned,5105
201807,"COPA Airlines, Inc.",Deplaned,11632
201009,Singapore Airlines,Deplaned,13748
201603,Alaska Airlines,Deplaned,61664
201408,Air France,Deplaned,20886
201110,British Airways,Deplaned,19281
201608,Qantas Airways,Deplaned,8515
201908,Iberia,Enplaned,6149
201409,Delta Air Lines,Deplaned,125472
201511,"COPA Airlines, Inc.",Enplaned,3819
201802,JetBlue Airways,Enplaned,60328
201212,Horizon Air,Enplaned,5882
201604,TACA,Enplaned,4340
201610,Philippine Airlines,Deplaned,9442
201702,Cathay Pacific,Deplaned,16866
201204,LAN Peru,Enplaned,2210
201307,Korean Air Lines,Enplaned,7093
201403,Philippine Airlines,Enplaned,9319
201509,Emirates,Enplaned,10065
201908,China Eastern,Deplaned,11733
201612,Air Pacific Limited dba Fiji Airways,Deplaned,2057
201804,Aer Lingus,Deplaned,6997
201009,EVA Airways,Enplaned,9841
201211,Virgin America,Deplaned,151690
201505,Cathay Pacific,Enplaned,18109
201801,Asiana Airlines,Deplaned,9280
201111,Emirates,Deplaned,8586
201306,Japan Airlines,Enplaned,6895
201307,WestJet Airlines,Enplaned,7508
201509,EVA Airways,Enplaned,12907
201009,Emirates,Enplaned,7354
201804,United Airlines,Deplaned,921544
201409,Southwest Airlines,Enplaned,135509
201608,Virgin America,Enplaned,228710
201509,Turkish Airlines,Enplaned,8497
201004,China Airlines,Deplaned,9518
201505,JetBlue Airways,Deplaned,61907
201909,WestJet Airlines,Enplaned,9536
201111,EVA Airways,Deplaned,10974
201506,Asiana Airlines,Enplaned,8250
201601,Hawaiian Airlines,Deplaned,13994
201208,Philippine Airlines,Deplaned,10643
201302,Frontier Airlines,Enplaned,12574
201903,French Bee,Deplaned,2637
201802,Cathay Pacific,Deplaned,20036
201810,Frontier Airlines,Deplaned,12890
201308,Alaska Airlines,Enplaned,52356
201309,American Airlines,Enplaned,121950
201905,Air Italy S.P.A,Deplaned,1659
201702,JetBlue Airways,Enplaned,60606
201909,Korean Air Lines,Enplaned,12224
201706,Japan Airlines,Deplaned,6494
201409,Sun Country Airlines,Enplaned,6373
201707,China Eastern,Deplaned,10317
201706,China Southern,Deplaned,9108
201709,SAS Airlines,Deplaned,6912
201904,Swiss International,Deplaned,9631
201311,Frontier Airlines,Enplaned,14959
201804,Southwest Airlines,Thru / Transit,94
201509,Singapore Airlines,Deplaned,13956
201704,Jazz Aviation,Deplaned,2016
201106,American Airlines,Enplaned,138084
201502,Virgin Atlantic,Enplaned,7045
201606,Korean Air Lines,Deplaned,9942
201111,Singapore Airlines,Enplaned,12948
201502,All Nippon Airways,Deplaned,6582
201512,Air China,Deplaned,9120
201609,Jazz Aviation,Deplaned,2035
201705,Virgin Atlantic,Deplaned,12379
201501,Air China,Deplaned,7177
201705,All Nippon Airways,Enplaned,7107
201007,Asiana Airlines,Enplaned,4826
201402,Korean Air Lines,Enplaned,5446
201410,Air France,Enplaned,13579
201608,Aeromexico,Enplaned,10813
201806,Lufthansa German Airlines,Enplaned,23107
201301,United Airlines - Pre 07/01/2013,Thru / Transit,4483
201202,United Airlines - Pre 07/01/2013,Deplaned,499978
201203,United Airlines - Pre 07/01/2013,Thru / Transit,8338
201507,China Eastern,Deplaned,6706
201606,WestJet Airlines,Deplaned,6351
201811,Air New Zealand,Deplaned,6686
201108,Air China,Deplaned,7410
201004,Singapore Airlines,Deplaned,14408
201903,SkyWest Airlines,Deplaned,205684
201907,British Airways,Deplaned,21748
201012,Air Canada,Deplaned,21057
201211,Southwest Airlines,Thru / Transit,411
201112,LAN Peru,Enplaned,3400
201412,JetBlue Airways,Deplaned,43107
201711,Air New Zealand,Enplaned,5854
201710,British Airways,Deplaned,21052
201410,Frontier Airlines,Deplaned,17331
201601,Swiss International,Enplaned,5300
201606,"COPA Airlines, Inc.",Enplaned,4371
201804,Qantas Airways,Enplaned,6729
201703,All Nippon Airways,Enplaned,7087
