case,Pre Buyout Disclosure Declaration Date,date,amount,Unknown Amount,Other Consideration,tenants,address,zip,Supervisor District,neighborhood,lon,lat,geocoding_confidence,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Neighborhoods,DELETE - Police Districts,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Zip Codes,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary,Invest In Neighborhoods (IIN) Areas,Civic Center Harm Reduction Project Boundary,Neighborhoods
B151979,7/29/15,7/29/15,2300,,,1,670 Thornton Avenue,94124,10,Bayview Hunters Point,-122.40107266416975,37.73134016519117,100,87,2,9,1,1,3,8,10,58,2,,,,87
B172596,,10/13/17,3915,,,2,249 Nueva Avenue,94134,10,Bayview Hunters Point,-122.39746621303867,37.710723141725026,100,89,2,9,1,1,3,8,10,309,1,,,,89
B173037,12/5/17,1/22/18,6458,,,1,1917 Oakdale Avenue,94124,10,Bayview Hunters Point,-122.39634047205202,37.73793932731002,100,87,2,9,1,1,3,8,10,58,2,,,,87
B182631,9/12/18,11/14/18,9000,,,1,1275 Quesada Avenue,94124,10,Bayview Hunters Point,-122.38356108444324,37.7287960756649,100,78,2,9,1,1,3,8,10,58,2,,,,78
B170238,2/6/17,2/17/17,12000,,,2,2638 Phelps Street,94124,10,Bayview Hunters Point,-122.40112475061697,37.729000841015704,100,87,2,9,1,1,3,8,10,58,2,,,,87
B180039,1/2/18,3/13/18,12100,,TRUE,5,994 Le Conte Avenue,94124,10,Bayview Hunters Point,-122.39645812463748,37.71831963513334,100,88,2,9,1,1,3,8,10,58,1,,,,88
B153124,,11/10/15,12606,,,1,1447 Newcomb Avenue,94124,10,Bayview Hunters Point,-122.38697758328783,37.73356665540994,100,86,2,9,1,1,3,8,10,58,2,,,,86
B183328,,12/11/18,16000,,,1,251 Tocoloma Avenue,94134,10,Bayview Hunters Point,-122.39795007050296,37.711927395218595,100,89,2,9,1,1,3,8,10,309,1,,,,89
B172148,,8/22/17,18000,,,5,1968 quint Street,94124,10,Bayview Hunters Point,-122.40029045152792,37.733217189429205,100,87,2,9,1,1,3,8,10,58,2,,,,87
B162725,8/23/16,2/24/17,20000,,,1,1461 Revere Avenue,94124,10,Bayview Hunters Point,-122.38760647619947,37.73014686277962,100,86,2,9,1,1,3,8,10,58,2,,,,86
B192353,9/13/19,11/5/19,20000,,TRUE,1,1743 La Salle Avenue,94124,10,Bayview Hunters Point,-122.39138473046583,37.73796120794434,100,86,2,9,1,1,3,8,10,58,2,,,,86
B183042,11/1/18,4/3/19,20000,,,2,1620 La Salle Avenue,94124,10,Bayview Hunters Point,-122.38911786122135,37.736811278590054,100,86,2,9,1,1,3,8,10,58,2,,,,86
B161233,3/29/16,5/18/16,24055,,,4,1355 Bayshore Boulevard,94124,10,Bayview Hunters Point,-122.40193110703629,37.72737719164397,98.72,86,2,9,1,1,3,8,10,58,2,,,,86
B191745,7/22/19,10/15/19,25000,,TRUE,3,1714 McKinnon Avenue,94124,10,Bayview Hunters Point,-122.39136922947762,37.737129778543604,100,86,2,9,1,1,3,8,10,58,2,,,,86
B173029,12/4/17,1/29/18,25000,,,2,31 Exeter Street,94124,10,Bayview Hunters Point,-122.3985044676662,37.72247435690534,100,88,2,9,1,1,3,8,10,58,2,,,,88
B181592,5/21/18,7/23/18,25000,,TRUE,2,1620 La Salle Avenue,94124,10,Bayview Hunters Point,-122.38911786122135,37.736811278590054,100,86,2,9,1,1,3,8,10,58,2,,,,86
B181529,5/10/18,9/24/18,25000,,,1,1175 Fitzgerald Avenue,94124,10,Bayview Hunters Point,-122.39087917716566,37.72066340064608,100,88,2,9,1,1,3,8,10,58,2,,,,88
B160293,1/26/16,6/6/16,28500,,,1,1313 Palou Avenue,94124,10,Bayview Hunters Point,-122.38561312764494,37.73090584384422,100,86,2,9,1,1,3,8,10,58,2,,,,86
B153314,11/25/15,3/2/16,30000,,TRUE,3,39 Neptune Street,94124,10,Bayview Hunters Point,-122.39692818339827,37.73075495088574,100,87,2,9,1,1,3,8,10,58,2,,,,87
B162469,7/25/16,9/16/16,32900,,TRUE,2,1465 Oakdale Avenue,94124,10,Bayview Hunters Point,-122.38787209856008,37.733114176573444,100,86,2,9,1,1,3,8,10,58,2,,,,86
B171994,8/4/17,10/12/17,33031,,,5,1556 thomas Avenue,94124,10,Bayview Hunters Point,-122.39045296865535,37.73000332048883,100,86,2,9,1,1,3,8,10,58,2,,,,86
B161809,5/23/16,1/17/17,35950,,,2,1783 Newcomb Avenue,94124,10,Bayview Hunters Point,-122.39323279984261,37.737116010330695,100,86,2,9,1,1,3,8,10,58,2,,,,86
B161874,6/2/16,8/30/16,38000,,,1,1642 Palou Avenue,94124,10,Bayview Hunters Point,-122.391723552113,37.734506881946594,100,87,2,9,1,1,3,8,10,58,2,,,,87
B181120,4/5/18,8/21/18,40000,,,5,85 Carr Street,94124,10,Bayview Hunters Point,-122.39711206325981,37.72119741389767,100,88,2,9,1,1,3,8,10,58,2,,,,88
B163807,12/13/16,8/21/17,41000,,,1,1773 la salle Avenue,94124,10,Bayview Hunters Point,-122.39192336957998,37.73826650365064,100,86,2,9,1,1,3,8,10,58,2,,,,86
B161312,4/11/16,8/17/16,48000,,,1,4602 3rd Street,94124,10,Bayview Hunters Point,-122.39024508705926,37.736394889991274,100,86,2,9,1,1,3,8,10,58,2,,,,86
B163795,12/7/16,1/31/17,50000,,TRUE,1,134 Nueva Avenue,94134,10,Bayview Hunters Point,-122.39719366391627,37.711828644775125,100,89,2,9,1,1,3,8,10,309,1,,,,89
B172720,10/26/17,6/25/18,50800,,,2,220 Topeka Avenue,94124,10,Bayview Hunters Point,-122.39732773117221,37.732896967872676,100,87,2,9,1,1,3,8,10,58,2,,,,87
B190794,4/15/19,9/24/19,60000,,,4,1469 Palou Avenue,94124,10,Bayview Hunters Point,-122.38849476000442,37.73254189240606,100,86,2,9,1,1,3,8,10,58,2,,,,86
B171983,8/1/17,11/13/17,75000,,,4,2250 Jerrold Avenue,94124,10,Bayview Hunters Point,-122.40077566302986,37.745310165048274,100,85,2,9,1,1,3,8,10,58,1,,,,85
B183332,12/12/18,4/3/19,2620,,,1,44 Peralta Avenue,94110,9,Bernal Heights,-122.40588450892015,37.74803188061753,100,60,9,2,2,2,7,7,2,"28,859",1,,,,60
B181505,,5/3/18,5000,,,4,308 Crescent Avenue,94110,9,Bernal Heights,-122.41852738929363,37.734922649616095,100,61,9,2,2,2,7,7,2,"28,859",1,,,,61
B162663,8/16/16,11/1/16,8000,,,2,31 29th Street,94110,9,Bernal Heights,-122.42144375810825,37.743958684817024,100,83,9,2,2,2,7,7,2,"28,859",1,,,,83
B152280,8/27/15,2/9/16,8950,,,1,12 College Terrace,94112,8,Bernal Heights,-122.42586855712631,37.734396246322795,100,93,9,5,2,2,7,5,2,"28,861",1,,7,,93
B162979,,9/21/16,10000,,,1,12 College Terrace,94112,8,Bernal Heights,-122.42586855712631,37.734396246322795,100,93,9,5,2,2,7,5,2,"28,861",1,,7,,93
B162980,,9/21/16,10000,,,1,12 College Terrace,94112,8,Bernal Heights,-122.42586855712631,37.734396246322795,100,93,9,5,2,2,7,5,2,"28,861",1,,7,,93
B181761,6/8/18,8/6/18,10000,,,1,146 Coleridge Street,94110,9,Bernal Heights,-122.41997930916034,37.74345366847745,100,83,9,2,2,2,7,7,2,"28,859",1,,,,83
B161397,4/18/16,7/22/16,10000,,,1,79 Bradford Street,94110,9,Bernal Heights,-122.40940322466204,37.741788756657094,100,83,9,2,2,2,7,7,10,"28,859",1,,,,83
B190479,3/4/19,4/24/19,10500,,,2,127 Ellert Street,94110,9,Bernal Heights,-122.41751625922566,37.73844567334819,100,61,9,2,2,2,7,7,2,"28,859",1,,,,61
B190582,,3/15/19,13254,,,2,270 Coleridge Street,94110,9,Bernal Heights,-122.42084692859918,37.74209884126629,100,83,9,2,2,2,7,7,2,"28,859",1,,,,83
B152674,9/29/15,11/27/18,15000,,,2,20 Precita Avenue,94110,9,Bernal Heights,-122.41897029600912,37.746708899335076,100,83,9,2,2,2,7,7,2,"28,859",1,,,,83
B162981,,9/21/16,15000,,,1,12 College Terrace,94112,8,Bernal Heights,-122.42586855712631,37.734396246322795,100,93,9,5,2,2,7,5,2,"28,861",1,,7,,93
B151297,,5/21/15,16000,,,2,600 Gates Street,94110,9,Bernal Heights,-122.41429507447786,37.735903158129375,100,83,9,2,2,2,7,7,2,"28,859",1,,,,83
B172457,9/27/17,11/13/17,17000,,TRUE,1,54 Fair Avenue,94110,9,Bernal Heights,-122.41918449396984,37.745250078624636,100,83,9,2,2,2,7,7,2,"28,859",1,,,,83
B172719,,10/10/17,17000,,TRUE,1,235 Cortland Avenue,94110,9,Bernal Heights,-122.41909745821125,37.73956713499243,100,83,9,2,2,2,7,7,2,"28,859",1,,,,83
B181872,6/20/18,8/22/18,17299,,,1,82 Saint Mary’s Avenue,94112,8,Bernal Heights,-122.42744038091551,37.73458575170169,90.17,93,9,5,2,2,7,5,2,"28,861",1,,,,93
B161604,5/12/16,7/25/16,18000,,,7,225 Genebern Way,94112,9,Bernal Heights,-122.42521690453441,37.73263079515141,100,93,9,2,2,2,7,7,2,"28,861",1,,,,93
B182444,8/17/18,10/31/18,18500,,,1,188 Banks Street,94110,9,Bernal Heights,-122.41275200124592,37.74041436436878,100,83,9,2,2,2,7,7,10,"28,859",1,,,,83
B151043,4/29/15,7/27/15,19153,,,4,216 Richland Avenue,94110,9,Bernal Heights,-122.42262119771168,37.735850396224066,100,61,9,2,2,2,7,7,2,"28,859",1,,,,61
B152256,,8/13/15,20000,,,2,1660 Florida Street,94110,9,Bernal Heights,-122.40917294057567,37.747089706768755,100,60,9,2,2,2,7,7,2,"28,859",1,,,,60
B163376,10/20/16,2/2/17,24320,,,2,257 Richland Avenue,94110,9,Bernal Heights,-122.42146583605033,37.73590205615937,100,61,9,2,2,2,7,7,2,"28,859",1,,,,61
B162784,8/30/16,10/26/16,25000,,,2,145 Ellsworth Street,94110,9,Bernal Heights,-122.41443550129638,37.74100883475422,100,83,9,2,2,2,7,7,2,"28,859",1,,,,83
B171684,6/22/17,9/22/17,29043,,,2,3839 Folsom Street,94110,9,Bernal Heights,-122.41327608902314,37.73872001922655,100,83,9,2,2,2,7,7,10,"28,859",1,,,,83
B170070,1/11/17,8/21/17,29286,,,2,334 Alemany Boulevard,94110,9,Bernal Heights,-122.41195431058865,37.73429048385941,100,83,9,2,2,2,7,7,10,"28,859",1,,,,83
B190161,1/28/19,3/12/19,29815,,,1,354 Crescent Avenue,94110,9,Bernal Heights,-122.41768995246429,37.73488081464712,100,61,9,2,2,2,7,7,2,"28,859",1,,,,61
B170078,1/17/17,7/11/17,30000,,,3,501 Andover Street,94110,9,Bernal Heights,-122.41655734398026,37.73724268376823,100,83,9,2,2,2,7,7,2,"28,859",1,,,,83
B181871,6/20/18,8/22/18,30000,,,2,82 Saint Mary’s Avenue,94112,8,Bernal Heights,-122.42744038091551,37.73458575170169,90.17,93,9,5,2,2,7,5,2,"28,861",1,,,,93
B182019,7/10/18,12/12/18,32000,,,2,402 Prentiss Street,94110,9,Bernal Heights,-122.41221300926041,37.73819216829952,100,83,9,2,2,2,7,7,10,"28,859",1,,,,83
B150588,3/12/15,5/8/15,32000,,,4,1336 Shotwell Street,94110,9,Bernal Heights,-122.41496928662296,37.74789921566498,100,83,9,2,2,2,7,7,2,"28,859",1,,,,83
B162405,7/22/16,11/1/16,32750,,TRUE,2,85 Cortland Avenue,94110,9,Bernal Heights,-122.42120726892026,37.74042477834212,100,83,9,2,2,2,7,7,2,"28,859",1,,,,83
B181856,6/19/18,9/10/18,36000,,,2,4 College Terrace,94112,8,Bernal Heights,-122.4258025871789,37.73435273550375,100,93,9,5,2,2,7,5,2,"28,861",1,,,,93
B151760,,7/13/15,36205,,,4,227 Winfield Street,94110,9,Bernal Heights,-122.41902027789031,37.74182639522705,100,83,9,2,2,2,7,7,2,"28,859",1,,,,83
B171009,4/14/17,6/30/17,40000,,,2,121 Ellert Street,94110,9,Bernal Heights,-122.41759553805767,37.738453362631674,100,61,9,2,2,2,7,7,2,"28,859",1,,,,61
B162518,8/1/16,10/11/16,40000,,,4,3481 Mission Street,94110,9,Bernal Heights,-122.42264865188179,37.74122930893182,100,83,9,2,2,2,7,7,2,"28,859",1,,,,83
B180499,2/14/18,5/25/18,40000,,,2,72 Mirabel Avenue,94110,9,Bernal Heights,-122.41592393539709,37.74659256303329,100,83,9,2,2,2,7,7,2,"28,859",1,,,,83
B170868,3/31/17,6/2/17,40000,,,2,743 Ellsworth Street,94110,9,Bernal Heights,-122.41494959620299,37.733958345897534,100,83,9,2,2,2,7,7,2,"28,859",1,,,,83
B163375,10/20/16,1/20/17,40000,,TRUE,2,1545 treat Avenue,94110,9,Bernal Heights,-122.41243928799467,37.746294341578924,100,83,9,2,2,2,7,7,2,"28,859",1,,,,83
B182306,7/30/18,9/21/18,40000,,,2,100 Richland Avenue,94110,9,Bernal Heights,-122.4244466736216,37.7360083002773,100,61,9,2,2,2,7,7,2,"28,859",1,,,,61
B183253,12/3/18,4/9/19,40000,,,1,77 Manchester Street,94110,9,Bernal Heights,-122.41415590763177,37.745507314938195,100,83,9,2,2,2,7,7,2,"28,859",1,,,,83
B160713,2/23/16,8/9/16,45200,,,2,120 Cortland Avenue,94110,9,Bernal Heights,-122.42054211414973,37.74003098791776,100,61,9,2,2,2,7,7,2,"28,859",1,,,,61
B160714,2/23/16,8/12/16,45200,,,2,120 Cortland Avenue,94110,9,Bernal Heights,-122.42054211414973,37.74003098791776,100,61,9,2,2,2,7,7,2,"28,859",1,,,,61
B192186,8/29/19,12/20/19,50000,,,4,3484 Mission Street,94110,9,Bernal Heights,-122.4229748791392,37.74096534696103,100,83,9,2,2,2,7,7,2,"28,859",1,,,,83
B181777,6/12/18,3/18/19,56500,,,7,3173 Cesar Chavez Street,94110,9,Bernal Heights,-122.41307566050008,37.748161580568876,100,83,3,2,2,2,4,7,2,"28,859",1,,,,83
B181775,6/12/18,3/18/19,56500,,,3,3171 Cesar Chavez Street,94110,9,Bernal Heights,-122.41303310643988,37.74816243221579,100,83,3,2,2,2,4,7,2,"28,859",1,,,,83
B181776,6/12/18,3/18/19,56500,,,5,3171 Cesar Chavez Street,94110,9,Bernal Heights,-122.41303310643988,37.74816243221579,100,83,3,2,2,2,4,7,2,"28,859",1,,,,83
